Copper_Vol.,Copper_Price_MA_50,Copper_Price_EMA_12,Copper_Price_Volatility_30,Copper_Price_Lag_7,Copper_Price_Lag_30,Copper_Price_BB_Upper,Copper_Price_BB_Lower,Copper_Price_RSI_14,Copper_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
102140.0,3.7894799999999997,3.6730960370931394,0.012107539167488282,3.679,3.7805,3.842983695788597,3.558566304211403,42.49667994687911,1.6448285475327395,3.164,85.54,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
73830.0,3.786,3.659465877540349,0.012123266071074182,3.719,3.8305,3.8284942780491904,3.54945572195081,34.12322274881511,-1.5382502403516018,3.214,83.21,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
70330.0,3.7816199999999998,3.6489326656110643,0.01208060540392487,3.6815,3.7975,3.814994776917901,3.5423552230821,38.246505717916165,-1.2919186366135205,3.01,85.39,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
89810.0,3.77798,3.6450968709016696,0.011907290160956454,3.6725,3.7345,3.783131848667663,3.552668151332338,44.86552567237166,-1.4949714596357633,2.971,83.74,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
83730.0,3.7728299999999995,3.636081967686028,0.011715805124889454,3.649,3.784,3.7464223222294173,3.5646776777705833,49.931972789115626,-3.562785695079318,2.926,85.49,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
83730.0,3.7668600000000003,3.624838588042024,0.011379633615292852,3.649,3.8355,3.738840161485382,3.5551098385146185,38.518518518518576,-3.218796686133374,2.899,88.75,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
66120.0,3.76127,3.6211711129586357,0.01045037735867626,3.6585,3.9315,3.732048182105024,3.551751817894977,45.040214477211805,-1.9469026548672552,2.957,89.37,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
69580.0,3.7551799999999997,3.6159140186573073,0.009903604049833344,3.646,3.8505,3.7210216958768476,3.549628304123153,36.705202312138795,-1.6990956426418125,3.056,88.32,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
86040.0,3.74826,3.6101580157869524,0.00987215285505783,3.5845,3.8255,3.7162090906897243,3.543940909310276,27.66295707472183,-1.932036174294327,3.079,86.66,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
57580.0,3.7407800000000004,3.6058260133581905,0.009874219842866919,3.591,3.8285,3.7128213688294682,3.538928631170533,32.26381461675575,-2.091020910209107,3.109,86.66,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
64950.0,3.73416,3.6004681651492385,0.009755931686096647,3.624,3.789,3.7138036075032845,3.536346392496716,32.03539823008853,-2.05704882062534,3.236,87.69,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
69710.0,3.7278800000000003,3.599011524357048,0.009669931146803399,3.5865,3.8205,3.712273442644897,3.5329265573551027,39.60573476702512,0.1813363091086817,3.344,82.91,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
52510.0,3.7217700000000002,3.6010097513790407,0.00974095366844915,3.563,3.797,3.710787076397117,3.5318129236028835,43.83333333333334,0.5847953216374213,3.377,83.49,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
57840.0,3.7163299999999997,3.6060851742438036,0.009552286508786322,3.601,3.8395,3.7046050915154014,3.5334949084845997,46.07999999999997,0.27593818984545937,3.382,85.97,27391.0,890.2,1567.6,4358.24,15131.52,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
64060.0,3.71129,3.612225916667834,0.009597422616053466,3.587,3.8335,3.6882925669446993,3.5425074330553,50.0,1.6589990241182129,3.376,86.38,27581.4,888.8,1579.74,4335.66,15047.16,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
89050.0,3.7068,3.6145757756420136,0.008475374618004168,3.5785,3.7345,3.6789843952422405,3.54641560475776,57.992565055762135,1.8102722424922835,3.338,82.79,27936.9,881.5,1645.62,4308.5,14973.24,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
58690.0,3.70003,3.60494873323555,0.009125618947913545,3.582,3.7025,3.671971308431141,3.541378691568859,44.23076923076919,-1.360733129686198,3.166,82.31,27410.3,862.5,1611.58,4258.19,14723.22,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
76860.0,3.69396,3.6024950819685424,0.009321800462184436,3.571,3.7185,3.6662397243807554,3.5411102756192445,44.883040935672476,0.055756899916348246,2.962,84.22,27790.9,874.2,1647.05,4263.75,14776.25,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
69450.0,3.69063,3.6053419924349206,0.009361386067331662,3.591,3.6835,3.661745890712205,3.542804109287795,55.12630014858842,1.187648456057011,2.949,89.23,27428.4,879.6,1656.88,4229.45,14565.62,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
74920.0,3.68771,3.6109047628295485,0.009392381029779849,3.612,3.666,3.6579239753050805,3.5449260246949192,61.769115442278896,1.6610831937465154,2.84,88.82,27505.3,886.8,1662.79,4288.39,14837.57,173.75,251.6,321.8,21.421,134.17,447.82,527960.0,380.33,129.46,306.82,1847.2
82330.0,3.68685,3.6303809531634643,0.009701940383536584,3.634,3.587,3.6871412024611407,3.524858797538858,67.43295019157091,4.662559507140851,2.929,90.79,26909.8,915.9,1667.72,4288.05,14715.24,171.21,250.22,315.75,22.45,130.86,434.99,531477.0,377.6,127.12,300.21,1866.1
