Microsoft_Vol.,Microsoft_Price_MA_50,Microsoft_Price_EMA_12,Microsoft_Price_Volatility_30,Microsoft_Price_Lag_7,Microsoft_Price_Lag_30,Microsoft_Price_BB_Upper,Microsoft_Price_BB_Lower,Microsoft_Price_RSI_14,Microsoft_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
29860000.0,368.3948,349.5760567220946,0.011886268172547667,360.53,371.3,390.38400415267904,331.762995847321,10.416666666666615,-10.782589877458282,3.164,85.54,3.646,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
37230000.0,367.4368,346.2397403033108,0.011680129942779676,356.53,374.23,390.357617755089,326.835382244911,11.300481659873967,-9.093681554797751,3.214,83.21,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
54460000.0,366.7564,345.3828571797245,0.014064141427905361,352.8,370.95,388.1035741130151,325.3714258869849,27.62998790810161,-6.203193832599108,3.01,85.39,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
27520000.0,366.01199999999994,343.09780222899764,0.014899775684604313,348.32,368.8,387.0638520935089,322.1571479064911,25.140970980607904,-8.321082850248251,2.971,83.74,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
24320000.0,365.2396,340.97814034761336,0.014676010242119864,346.07,372.52,384.66643526351476,319.74256473648524,21.55646411955449,-7.631896334109323,2.926,85.49,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
25030000.0,364.361,338.7768879864421,0.014664958260339324,338.11,369.14,383.3000629476933,316.79093705230673,23.668730650154828,-7.406462585034013,2.899,88.75,3.563,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
24910000.0,363.57,337.6296744500664,0.014651450288484783,337.31,374.51,379.6593949458716,315.9466050541284,26.116272100689244,-4.880569591180528,2.957,89.37,3.601,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
23030000.0,362.65139999999997,336.47280145774846,0.014348281651343983,329.81,378.91,376.86680169757483,314.78319830242515,26.700367647058854,-4.611783743173337,3.056,88.32,3.587,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
18000000.0,361.787,335.79390892578715,0.014453712216274334,327.89,378.85,373.27966337431104,314.5493366256889,30.650007907638795,-1.7893584927982098,3.079,86.66,3.5785,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
22100000.0,360.9584,335.30869216797373,0.014243812196852142,340.67,382.7,369.9211198824382,314.5038801175618,33.222370173102505,-1.384483116421098,3.109,86.66,3.582,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
21090000.0,360.01980000000003,334.142739526747,0.014323386540954944,330.53,378.61,365.30855039928724,314.92244960071275,32.98628325896546,-0.6306661411115466,3.236,87.69,3.571,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
19270000.0,359.15139999999997,333.6838565226321,0.014587399035944807,329.32,377.43,362.16084373367767,315.11715626632235,37.915383368455196,0.9972856750739778,3.344,82.91,3.591,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
19830000.0,358.329,333.4894170576118,0.01462972720225943,326.67,377.85,357.7021419428066,316.49785805719347,44.82633206037461,-2.4216984178237033,3.377,83.49,3.612,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
20520000.0,357.48439999999994,332.7048913564407,0.01461948473775969,331.32,373.07,353.212328845552,317.773671154448,42.339402267262095,-0.647445012555592,3.382,85.97,3.634,27391.0,890.2,1567.6,4358.24,15131.52,178.39,263.62,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
19890000.0,356.6156,332.2610619169883,0.014404460183651019,330.11,377.44,348.9922797244736,319.32272027552636,50.00958772770852,0.15182800923114748,3.376,86.38,3.646,27581.4,888.8,1579.74,4335.66,15047.16,178.99,259.67,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
25670000.0,355.70779999999996,331.49166777591313,0.014113145832428328,332.06,369.85,345.1301306711229,320.63086932887705,49.40329607880281,0.1806104019346666,3.338,82.79,3.6275,27936.9,881.5,1645.62,4308.5,14973.24,177.49,260.53,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
17373000.0,354.6804,329.6252573488496,0.0139983507348132,332.64,376.17,342.8134219402689,320.0515780597311,27.760384053433484,-3.6098032113968337,3.166,82.31,3.552,27410.3,862.5,1611.58,4258.19,14723.22,174.91,260.05,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
20250000.0,353.7407999999999,327.9829100644112,0.013831861450926497,327.73,369.67,340.53974147218395,319.6132585278161,34.83499214248296,-3.3806912847232806,2.962,84.22,3.589,27790.9,874.2,1647.05,4263.75,14776.25,173.66,261.16,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
20590000.0,352.5212,325.73784697757867,0.013962930706364899,331.16,370.27,341.00927362674287,316.67172637325706,31.27204326357861,-5.622477865446007,2.949,89.23,3.621,27428.4,879.6,1656.88,4229.45,14565.62,172.4,246.53,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
20570000.0,351.4696,325.1320243656435,0.015124526916327886,332.42,366.68,339.9343209134868,316.1956790865132,44.957548146614194,-3.25877825877825,2.84,88.82,3.6415,27505.3,886.8,1662.79,4288.39,14837.57,173.75,251.6,21.421,134.17,447.82,527960.0,380.33,129.46,306.82,1847.2
24150000.0,350.3586,323.68863600169834,0.015163904106739116,328.39,369.67,340.40374447485203,314.3202555251479,34.33286375528276,-3.6554480822628466,2.929,90.79,3.7375,26909.8,915.9,1667.72,4288.05,14715.24,171.21,250.22,22.45,130.86,434.99,531477.0,377.6,127.12,300.21,1866.1
19300000.0,349.1468,322.14269200143707,0.014731267882033675,329.82,360.69,341.05545706460816,312.2435429353918,33.722079462344325,-5.290494021017045,2.945,91.71,3.708,27022.6,915.1,1652.89,4299.7,14702.77,170.69,246.38,22.741,132.31,430.89,541105.0,376.36,125.98,303.96,1878.6
19310000.0,347.9836,320.7038163089083,0.014575879483824872,327.26,363.2,339.341115619077,311.16988438092295,30.531420488987706,-5.9051801937308195,2.764,93.68,3.6365,26366.1,896.3,1598.49,4274.51,14580.16,170.43,240.5,22.724,130.54,424.68,542495.0,377.59,125.98,297.74,1890.9
26060000.0,346.85040000000004,319.3863061075378,0.014576671877784832,319.36,360.53,339.34272186230544,309.3292781376945,29.317998385795022,-4.9483845427692685,2.656,90.39,3.649,26218.9,914.2,1594.04,4273.53,14545.83,171.96,244.12,23.196,128.57,419.11,545870.0,379.25,125.98,298.96,1919.8
17373000.0,345.7508,319.10225901407046,0.015060316326103202,318.95,356.53,338.8544399238454,308.6395600761546,39.82017982017985,-3.7232429810199474,2.639,89.68,3.67,26302.7,923.6,1588.62,4337.44,14768.89,176.08,246.99,23.385,131.11,422.22,548360.0,384.8,131.27,300.83,1936.6
21450000.0,344.7082,318.7803730119058,0.015010542401328913,313.39,352.8,338.59400140762745,307.9339985923726,34.994697773064686,-3.132066247020715,2.637,90.03,3.696,26581.9,934.1,1593.1,4320.06,14701.1,174.79,244.88,23.844,130.25,416.1,546215.0,379.81,129.12,299.08,1945.6
34450000.0,343.6086,318.8957002408434,0.01504522519773931,321.8,348.32,337.60159225394756,307.7474077460525,36.68663499277008,0.053231462925840134,2.61,89.63,3.696,26570.0,924.6,1584.03,4330.0,14694.24,173.93,255.7,23.687,130.44,410.17,551030.0,384.15,129.33,295.73,1939.6
20160000.0,342.44579999999996,319.1840540499444,0.015076019588187307,315.75,346.07,336.73416930347753,307.68083069652243,41.64839982463833,0.5706223546010358,2.733,90.28,3.776,27125.0,942.3,1622.28,4402.2,14969.92,175.49,262.59,23.836,133.74,422.39,556580.0,386.3,135.29,299.67,1967.1
17373000.0,341.4418,320.64035342687606,0.015335704359699184,313.64,338.11,336.15095144044085,307.9230485595591,48.876512387171104,4.869332142059402,2.848,91.2,3.747,27209.2,948.4,1643.08,4443.95,15191.23,179.07,266.5,23.456,138.04,435.2,563073.0,396.2,137.63,305.07,1953.7
17373000.0,340.3689999999999,321.9356836688951,0.015337432789618397,312.79,337.31,335.4882706464216,308.2277293535784,51.80288461538463,2.2560596643878217,2.728,91.48,3.779,26763.5,938.3,1636.92,4453.53,15225.37,177.97,265.28,23.498,138.21,439.66,562800.0,394.4,139.98,302.55,1953.4
