Amazon_Vol.,Amazon_Price_MA_50,Amazon_Price_EMA_12,Amazon_Price_Volatility_30,Amazon_Price_Lag_7,Amazon_Price_Lag_30,Amazon_Price_BB_Upper,Amazon_Price_BB_Lower,Amazon_Price_RSI_14,Amazon_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Meta_Price,Gold_Price
125310000.0,145.8262,136.99878883135398,0.014114976430724145,142.71,145.89,151.2222394317011,130.67576056829893,22.25082751011402,-11.019782669267208,3.164,85.54,3.646,33901.8,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,296.73,1989.0
83670000.0,145.1902,134.31743670345338,0.01754815076784213,139.74,147.42,153.26281466947196,125.91818533052802,16.23320948842533,-14.957325746799432,3.214,83.21,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,288.35,1987.9
72530000.0,144.636,132.32860028753748,0.017997622303633883,138.6,146.88,153.7922504573397,122.8567495426603,14.323297281496679,-14.56221846846848,3.01,85.39,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,299.53,1985.5
44470000.0,144.3024,131.74881562791631,0.021466626177791333,138.07,144.52,153.37845329485242,121.7365467051476,31.621692428608867,-9.915212669049122,2.971,83.74,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,312.55,1976.8
46690000.0,143.9422,130.95053630054457,0.021230361766924312,137.0,146.88,152.58718987761895,120.57081012238108,28.31632653061226,-9.431801917847437,2.926,85.49,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,314.01,1978.2
56410000.0,143.4762,130.0612230235377,0.021193740773885385,133.09,144.84,151.8227751373168,119.33422486268319,29.497741163964946,-9.689754689754682,2.899,88.75,3.563,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,308.65,1994.4
59610000.0,143.0456,129.80565025068574,0.021622616716955367,132.71,147.03,151.02681346115125,118.68718653884875,32.63077704418487,-7.003693778518139,2.957,89.37,3.601,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,312.81,1980.5
42130000.0,142.5694,129.5478579044264,0.021622340567252422,127.74,146.09,150.03916179492126,118.16783820507874,31.317273193234243,-6.474452554744525,3.056,88.32,3.587,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,316.97,1968.3
48170000.0,142.1312,129.84357207297617,0.02229727322160765,119.57,146.32,148.3683921073341,118.40560789266591,39.5024117796395,-1.2172214291081285,3.079,86.66,3.5785,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,324.0,1935.7
42360000.0,141.7154,130.2599456002106,0.022348160933933135,121.39,147.03,147.22717409930397,118.54282590069607,42.30867022629039,-0.1205636349935979,3.109,86.66,3.582,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,321.15,1934.3
45830000.0,141.243,130.1876462771013,0.022521047996991842,128.56,147.73,145.67715323264994,118.71584676735003,40.03849855630415,1.6048222952872893,3.236,87.69,3.571,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,314.69,1941.5
54960000.0,140.8212,130.51723915754724,0.02292201912140232,126.56,146.74,144.6727137283963,118.89328627160367,44.57355333488266,10.671573137074542,3.344,82.91,3.591,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,324.16,1883.0
41376000.0,140.381,130.71920236407843,0.02291528220387994,125.17,146.71,143.2169444831708,119.32405551682919,48.40989399293287,8.600378943899845,3.377,83.49,3.612,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,327.82,1887.3
