Google_Vol.,Google_Price_MA_50,Google_Price_EMA_12,Google_Price_Volatility_30,Google_Price_Lag_7,Google_Price_Lag_30,Google_Price_BB_Upper,Google_Price_BB_Lower,Google_Price_RSI_14,Google_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
55640000.0,133.87120000000002,126.96616427340783,0.014728128965749222,130.25,134.99,140.85361017080822,120.7663898291918,14.783105022831009,-6.1117936117936145,3.214,83.21,3.5845,34153.7,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,403.26,510125.0,403.54,119.57,288.35,1987.9
63356000.0,133.6066,126.75752361596047,0.015427357303448462,129.1,136.93,139.7786548170411,120.5533451829589,29.823677581863947,-4.72542475728156,3.01,85.39,3.591,34496.8,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,417.79,512400.0,411.25,121.39,299.53,1985.5
40970000.0,133.66819999999998,128.61175075196655,0.023081345181440963,127.49,130.02,140.1752356080345,120.34076439196551,60.65989847715736,5.98610368786745,2.971,83.74,3.624,33917.0,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,436.63,516250.0,413.73,128.56,312.55,1976.8
26180000.0,133.6704,129.8253275593563,0.023318416689821597,126.45,130.99,140.2201130049049,120.32088699509511,55.86558655865586,4.798464491362764,2.926,85.49,3.5865,33041.8,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,429.75,512500.0,406.84,126.56,314.01,1978.2
26340000.0,133.60399999999998,130.71373870407072,0.023206037871357978,124.08,129.27,140.26633099446445,120.30366900553554,58.40652446675029,5.034856700232382,2.899,88.75,3.563,29674.5,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,413.87,511000.0,400.96,125.17,308.65,1994.4
25880000.0,133.5956,131.79624044190598,0.02310537028561762,124.46,131.86,140.42826321698595,120.22373678301405,59.11193339500461,8.04769001490313,2.957,89.37,3.601,28723.0,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,421.01,515550.0,401.77,128.4,312.81,1980.5
23290000.0,133.561,132.74451114315121,0.023096568147366693,122.17,132.53,140.99659757917576,119.98940242082422,61.00094428706328,9.102412020561502,3.056,88.32,3.587,28321.7,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,421.96,518145.0,346.19,128.13,316.97,1968.3
23110000.0,133.5508,133.8176632749741,0.02297343580188378,122.28,134.99,142.01401599218036,119.5819840078196,64.43157573910392,12.604771115409408,3.079,86.66,3.5785,28403.6,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,439.38,527750.0,355.72,131.47,324.0,1935.7
26310000.0,133.5254,134.63033046343963,0.022819190726059535,125.61,137.2,142.9569916368199,119.3400083631801,65.48946716232962,11.762815362365409,3.109,86.66,3.582,28509.7,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,460.95,527475.0,360.82,132.55,321.15,1934.3
23440000.0,133.4422,135.05027962291047,0.022918130054027895,138.81,136.41,143.50666145089104,119.26733854910897,65.22678185745144,12.433494311205706,3.236,87.69,3.571,26863.5,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,454.61,522700.0,355.68,129.79,314.69,1941.5
24710000.0,133.3918,135.6533135270781,0.02300890267092013,136.5,136.69,144.38982974093466,119.2571702590654,68.98120072771377,13.649002289826617,3.344,82.91,3.591,26761.1,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,469.45,524517.0,361.2,132.33,324.16,1883.0
25780000.0,133.39440000000002,136.40664990752762,0.022977865752260258,135.6,138.49,145.41749439475674,119.10050560524321,75.58247903075493,11.893957487461204,3.377,83.49,3.612,26876.6,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,468.06,528820.0,365.93,131.83,327.82,1887.3
27760000.0,133.3888,136.6610114602157,0.02312879224428681,137.75,136.97,146.00572126931598,119.22127873068406,69.82507288629739,-0.5403068943159672,3.382,85.97,3.634,27391.0,890.2,1567.6,4358.24,15131.52,178.39,263.62,328.39,21.953,457.98,528530.0,373.32,129.48,321.84,1875.3
