Platinum_Vol.,Platinum_Price_MA_50,Platinum_Price_EMA_12,Platinum_Price_Volatility_30,Platinum_Price_Lag_7,Platinum_Price_Lag_30,Platinum_Price_BB_Upper,Platinum_Price_BB_Lower,Platinum_Price_RSI_14,Platinum_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
0.0,935.4889999999999,915.6638009156982,0.018222640966018954,917.6,919.8,965.7347245875764,849.1502754124239,51.71043919664534,5.171815341895192,3.214,83.21,3.5845,34153.7,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
22354.0,934.549,915.1616776978984,0.018168421982057033,940.95,912.0,964.4814291184648,849.0635708815348,54.94530537830445,4.693057946070001,3.01,85.39,3.591,34496.8,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
0.0,932.951,911.5829580520679,0.018265747246144104,930.6,893.7,959.9631132634863,848.6318867365137,56.64943609022556,-0.7400812420010006,2.971,83.74,3.624,33917.0,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
0.0,931.725,910.5701952748266,0.018272663444249715,934.9,906.6,958.3172706105227,848.4377293894772,64.28571428571428,-1.3731473408892803,2.926,85.49,3.5865,33041.8,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
0.0,930.085,909.7286267710072,0.01786625674268751,944.9,925.1,958.3229105420257,848.4420894579741,60.77654516640255,-3.8099792762633533,2.899,88.75,3.563,29674.5,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
0.0,928.0830000000001,907.9549918831599,0.017751694402531014,939.9,936.1,958.3168017015752,848.428198298425,57.06349206349208,-3.481624758220503,2.957,89.37,3.601,28723.0,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
0.0,925.785,905.8542239011354,0.017759594548948408,901.5,935.9,958.113545948653,847.9364540513469,48.7187217365089,-4.342710450315545,3.056,88.32,3.587,28321.7,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
0.0,923.445,905.9074202240375,0.017915133457128547,909.0,941.4,958.5938048745621,849.0061951254378,46.40831758034028,-4.095671499629583,3.079,86.66,3.5785,28403.6,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
0.0,921.1629999999999,904.9062786511087,0.01793000524297873,912.4,944.7,957.0946303488184,854.0853696511814,35.38515652479775,-4.308969039259491,3.109,86.66,3.582,28509.7,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
22354.0,918.935,901.7206973201688,0.01745855469094721,891.9,918.0,951.9691122402618,863.0708877597384,34.21768707482995,-1.919023849140311,3.236,87.69,3.571,26863.5,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
22354.0,916.815,897.7328977324505,0.017227461664170565,905.0,932.4,950.4376237906167,865.7523762093833,30.443414956982167,-3.652365236523658,3.344,82.91,3.591,26761.1,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
0.0,915.2689999999999,897.0047596197658,0.0176384323065708,905.1,925.8,948.5916531469968,869.7483468530033,33.60707517372083,-2.126260412099956,3.377,83.49,3.612,26876.6,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
0.0,913.5930000000001,895.9578735244172,0.017313436039578085,898.2,941.4,948.819305725596,868.6856942744043,34.080717488789276,-0.1906043278394387,3.382,85.97,3.634,27391.0,1567.6,4358.24,15131.52,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
0.0,912.0529999999999,894.8566622129683,0.01699875559988237,894.3,923.4,948.1040351771085,866.5209648228915,44.66834592779177,-1.7900552486187937,3.376,86.38,3.646,27581.4,1579.74,4335.66,15047.16,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
0.0,910.597,892.801791103281,0.016683792133655676,906.2,905.0,943.4400013460763,865.2399986539235,38.43566021867119,-2.6074466909733807,3.338,82.79,3.6275,27936.9,1645.62,4308.5,14973.24,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
0.0,908.795,888.1399770873916,0.017075474188059186,899.4,898.4,942.2067961554227,859.6632038445774,31.449814126394102,-3.974615898463596,3.166,82.31,3.552,27410.3,1611.58,4258.19,14723.22,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
0.0,906.921,885.9953652277928,0.017271893178140686,884.2,901.25,937.5507914568917,858.2492085431082,42.95942720763728,-2.2475679302247475,2.962,84.22,3.589,27790.9,1647.05,4263.75,14776.25,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
22354.0,906.071,885.0114628850554,0.017193457466471995,875.8,890.7,928.291360937852,860.978639062148,39.23728813559326,-2.9353343632752216,2.949,89.23,3.621,27428.4,1656.88,4229.45,14565.62,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
0.0,905.1870000000001,885.2866224412007,0.016279485859635276,893.0,863.6,918.1456745817075,865.8143254182924,42.685851318944835,-1.4009339559706513,2.84,88.82,3.6415,27505.3,1662.79,4288.39,14837.57,173.75,251.6,321.8,21.421,134.17,447.82,527960.0,380.33,129.46,306.82,1847.2
0.0,905.1909999999999,889.9963728348621,0.01673666573590667,890.2,845.6,920.6970675156116,864.7029324843885,56.00814663951116,3.5851617281158044,2.929,90.79,3.7375,26909.8,1667.72,4288.05,14715.24,171.21,250.22,315.75,22.45,130.86,434.99,531477.0,377.6,127.12,300.21,1866.1
0.0,905.0970000000001,893.8584693218063,0.01634355971134001,888.8,864.3,921.869217512893,864.1407824871068,57.212205270457716,4.487325873487102,2.945,91.71,3.708,27022.6,1652.89,4299.7,14702.77,170.69,246.38,313.64,22.741,132.31,430.89,541105.0,376.36,125.98,303.96,1878.6
0.0,904.783,894.2340894261438,0.016803771696244498,881.5,871.5,919.6500886778364,864.7499113221637,46.72402382528124,0.369540873460239,2.764,93.68,3.6365,26366.1,1598.49,4274.51,14580.16,170.43,240.5,312.79,22.724,130.54,424.68,542495.0,377.59,125.98,297.74,1890.9
0.0,905.193,897.3057679759678,0.01623506804279787,862.5,898.55,922.4723065682654,864.1576934317345,54.562268803945756,2.6960233655358268,2.656,90.39,3.649,26218.9,1594.04,4273.53,14545.83,171.96,244.12,312.14,23.196,128.57,419.11,545870.0,379.25,125.98,298.96,1919.8
0.0,905.533,901.3510344412035,0.015878181333736974,874.2,917.6,926.0389070627664,862.4510929372339,62.595907928388726,3.915391539153923,2.639,89.68,3.67,26302.7,1588.62,4337.44,14768.89,176.08,246.99,317.54,23.385,131.11,422.22,548360.0,384.8,131.27,300.83,1936.6
0.0,905.7130000000001,906.3893368348646,0.015308369709454856,879.6,940.95,931.9109880366906,859.4790119633095,68.39116719242904,5.967101531480434,2.637,90.03,3.696,26581.9,1593.1,4320.06,14701.1,174.79,244.88,317.01,23.844,130.25,416.1,546215.0,379.81,129.12,299.08,1945.6
0.0,905.4830000000001,909.1909773218085,0.015288800772007635,886.8,930.6,935.4706217230367,858.5593782769632,60.47745358090186,7.200000000000006,2.61,89.63,3.696,26570.0,1584.03,4330.0,14694.24,173.93,255.7,319.53,23.687,130.44,410.17,551030.0,384.15,129.33,295.73,1939.6
22354.0,905.6110000000001,914.2846731184534,0.015668693420101375,915.9,934.9,942.8288602655643,856.001139734436,65.7211828605914,7.7899794097460395,2.733,90.28,3.776,27125.0,1622.28,4402.2,14969.92,175.49,262.59,320.77,23.836,133.74,422.39,556580.0,386.3,135.29,299.67,1967.1
22354.0,905.7510000000001,919.5331849463836,0.015591617205922448,915.1,944.9,950.1201643684847,852.9298356315153,67.48826291079813,7.8217371532514735,2.848,91.2,3.747,27209.2,1643.08,4443.95,15191.23,179.07,266.5,328.65,23.456,138.04,435.2,563073.0,396.2,137.63,305.07,1953.7
22354.0,905.623,922.4203872623245,0.015687571125244357,896.3,939.9,954.7469610726117,852.1930389273881,66.39722863741338,5.807397383852053,2.728,91.48,3.779,26763.5,1636.92,4453.53,15225.37,177.97,265.28,329.06,23.498,138.21,439.66,562800.0,394.4,139.98,302.55,1953.4
22354.0,905.8530000000001,923.5095584527361,0.013794955576883813,914.2,901.5,957.4282765657712,854.0417234342286,70.5521472392638,1.4848782618189782,2.644,90.77,3.801,26601.0,1641.31,4450.32,15202.4,175.01,274.39,330.22,23.386,137.4,439.0,559500.0,396.94,140.39,300.31,1946.2
22354.0,905.427,921.6003956138536,0.014236361438423991,923.6,909.0,957.2642864967074,857.7357135032926,60.872127283441365,-0.4371106982843376,2.708,90.16,3.8215,26524.7,1626.49,4505.1,15473.89,175.74,276.04,338.7,22.994,138.1,455.81,561740.0,400.49,144.72,311.72,1932.8
22354.0,905.015,919.0772578271069,0.014270272759768847,934.1,912.4,957.4229597570462,858.7970402429538,57.520564042303185,0.9929711034251998,2.68,88.52,3.793,26223.0,1607.63,4467.44,15348.53,174.21,271.3,336.06,23.181,136.71,454.85,557955.0,412.24,144.85,305.06,1932.5
22354.0,904.4429999999999,918.1115258537059,0.013708461823220225,924.6,891.9,957.8557609271559,860.6242390728441,57.62016412661196,-0.15313935681471325,2.743,88.84,3.792,25834.5,1592.5,4461.9,15289.74,176.3,267.48,331.77,23.402,135.34,448.7,557415.0,434.69,141.23,301.66,1935.1
22354.0,904.0210000000001,915.6789834146741,0.013631433984027644,942.3,905.0,957.7036696547254,862.1263303452745,45.52631578947368,-2.306193157210923,2.608,87.29,3.807,25166.4,1551.89,4487.46,15461.87,179.36,273.58,337.94,23.383,136.92,451.78,555309.0,445.36,143.1,307.56,1947.2
22354.0,903.8170000000001,912.4668321201088,0.0137153424714066,948.4,905.1,957.0559179292726,864.1040820707273,43.604284814114656,-4.207258323519969,2.605,87.51,3.7165,25909.5,1636.45,4457.49,15280.23,178.18,248.5,334.27,23.174,136.38,455.72,551405.0,442.8,138.23,297.89,1942.7
22354.0,904.041,912.0257810247075,0.013976896278330262,938.3,898.2,953.5575384679371,872.312461532063,54.29864253393667,-1.6223231667748195,2.579,86.87,3.762,26249.8,1648.09,4451.14,15258.52,177.56,251.49,329.91,23.24,135.26,462.41,548930.0,443.14,137.85,298.67,1942.5
22354.0,904.322,912.5295070209063,0.01398398233602774,929.5,894.3,951.290320427759,878.6896795722411,50.38596491228068,-2.865329512893988,2.51,87.54,3.786,25758.0,1633.18,4465.48,15371.44,182.91,251.92,332.88,23.503,134.46,470.61,548660.0,445.76,135.36,299.17,1944.2
22354.0,905.1779999999999,915.7557367099977,0.014235040735300438,911.1,906.2,950.7846756225176,884.5853243774825,53.271645736946454,-1.5710670603121035,2.582,86.69,3.8485,25790.2,1634.46,4496.83,15508.24,189.7,256.49,333.55,23.873,135.77,485.2382,546627.0,448.68,137.27,300.15,1952.6
22060.0,907.28,923.9010079853826,0.015619988467126209,905.2,899.4,958.8214049977945,884.7385950022057,59.82954545454547,3.239901950335722,2.765,85.55,3.852,25803.2,1629.0,4515.77,15490.86,189.46,245.01,328.66,24.562,135.66,485.09,550000.0,439.88,138.12,296.38,1967.1
22354.0,909.8560000000001,931.6700836799391,0.015187349183416573,912.8,884.2,968.427785821584,880.9822141784158,64.45993031358886,4.830554061323289,2.768,83.63,3.822,25937.3,1645.82,4507.66,15501.07,187.87,258.08,327.76,24.812,136.17,485.2382,546725.0,433.68,138.01,295.89,1965.9
22354.0,912.2359999999999,939.6131477291792,0.015023676961072924,902.3,875.8,978.7718341105659,877.4581658894341,62.54589963280295,7.9244868839863924,2.796,81.63,3.844,27298.8,1705.22,4514.87,15462.43,187.65,256.9,328.79,25.104,135.88,485.2382,547348.0,434.67,135.07,295.1,1973.0
0.0,914.4659999999999,946.2880480785363,0.014745325745187584,894.8,893.0,986.3765972849853,878.5234027150148,60.97715736040612,8.594785682722051,2.556,81.16,3.8295,27723.9,1729.69,4497.63,15376.55,184.12,257.18,328.41,25.139,134.57,485.2382,543593.0,429.99,134.91,297.99,1965.1
0.0,915.877,949.7975791433769,0.01504505454141615,909.6,890.2,990.7739234948128,879.6160765051873,59.541511771995076,6.167835232252417,2.579,80.1,3.7855,26118.9,1653.22,4433.31,15052.46,180.19,238.82,323.7,24.605,131.01,468.35,539605.0,418.06,133.14,290.26,1946.8
0.0,916.4270000000001,949.0748746597804,0.015858974924701445,915.3,888.8,991.7362192120966,880.8037807879032,54.41676104190261,4.743433447855483,2.54,79.83,3.779,26057.2,1653.74,4405.71,14941.83,178.61,238.59,322.98,24.583,129.88,460.18,540000.0,416.03,133.26,285.5,1939.9
0.0,916.406,947.6633554813527,0.015805395594122095,933.5,881.5,992.0390961107273,881.0809038892728,58.812729498164,5.040232454179705,2.519,79.05,3.7875,26177.0,1660.89,4376.31,14816.44,176.38,230.04,319.97,24.575,129.78,471.63,537780.0,406.93,131.84,286.75,1947.1
0.0,916.4960000000001,945.7305315611445,0.015225454060094333,968.7,862.5,992.2855825674842,881.8844174325159,59.21133703019101,2.8034300791556666,2.497,78.89,3.8305,26436.2,1679.93,4436.01,15148.06,181.12,236.86,327.0,24.71,132.37,471.16,537150.0,427.55,135.52,294.24,1948.1
0.0,916.2259999999999,941.98737285943,0.01540849829398032,974.4,874.2,991.6149432369447,880.4650567630553,52.55344418052257,0.6664481590735294,2.56,80.35,3.7825,26039.9,1634.29,4387.55,14908.96,177.23,233.19,322.46,23.763,129.08,456.68,531840.0,413.17,134.25,287.6,1926.0
0.0,915.536,937.1277770349024,0.015587748599407206,983.3,879.6,990.5280689134645,877.7519310865355,52.39786856127886,-2.474558114622394,2.632,80.72,3.7465,26126.0,1667.6,4399.77,14936.69,175.84,231.28,321.88,23.659,128.37,469.67,534700.0,408.29,134.68,289.9,1923.0
0.0,915.063,933.915811337225,0.015564099151989105,983.0,886.8,989.9429698601123,876.1320301398878,56.41255605381167,-5.414473005058329,2.551,81.25,3.706,26053.2,1661.26,4369.71,14694.84,174.49,215.49,316.48,22.733,127.46,432.99,535817.0,404.53,133.22,283.25,1916.5
0.0,915.0360000000001,928.7210711314981,0.014731929444683597,969.1,915.9,990.3427237128902,872.7972762871099,47.19667754375555,-7.620073891625612,2.621,80.39,3.6915,26635.7,1683.89,4370.36,14715.81,174.0,219.22,316.88,22.715,129.92,433.43,535821.0,403.0,133.98,285.09,1915.2
0.0,914.6820000000001,922.9639832651138,0.01483077254396414,945.1,915.1,991.4347139548486,869.7252860451513,43.0110658124636,-9.356249364385238,2.592,79.38,3.6575,28726.3,1807.81,4404.33,14876.47,176.57,225.6,320.4,22.535,128.7,434.86,537497.0,415.45,135.07,294.29,1928.3
0.0,914.278,918.2310627627887,0.01435433152327444,939.9,896.3,992.187676761903,867.6723232380969,36.625647668393796,-9.237029501525939,2.659,80.99,3.6675,29195.3,1828.98,4437.86,15037.65,177.45,232.96,321.86,22.656,129.78,439.4,538107.0,423.7,137.67,301.95,1935.2
0.0,914.576,916.4724377223597,0.014195043588128274,935.1,914.2,992.2917435542873,866.9682564457124,26.86846038863972,-6.428645134661037,2.795,82.51,3.7255,29426.7,1845.51,4489.72,15205.58,179.46,239.76,324.04,22.708,131.33,437.53,543150.0,427.78,140.57,306.19,1944.0
0.0,914.768,916.1843703804583,0.014155618867757336,921.4,923.6,992.0123981456591,868.4776018543412,27.998528329654192,-3.2271717278594902,2.77,83.19,3.719,29420.8,1848.88,4464.05,15028.07,177.79,242.65,321.01,22.743,129.56,408.55,542900.0,421.66,138.41,301.64,1946.6
0.0,914.962,915.9713903219263,0.013985949791560084,910.4,934.1,991.2177209917813,871.2722790082189,23.073899371069203,-2.6704968613682323,2.763,82.82,3.765,29449.0,1852.46,4468.83,15128.84,177.97,245.34,322.93,22.821,129.69,423.88,543680.0,429.98,138.56,305.74,1948.9
0.0,914.852,912.3911764262452,0.01453821803727863,916.25,924.6,992.1079454066972,868.6920545933027,19.697986577181226,-4.534274409154094,2.959,84.4,3.7835,29578.0,1855.36,4467.71,15101.71,178.19,242.19,322.23,22.731,129.66,425.54,545280.0,428.9,137.85,305.21,1950.6
0.0,915.055,911.1694569760537,0.014290391642313285,900.15,942.3,992.3106679277412,867.4043320722585,27.987742594484175,-1.8395919253310078,2.777,82.92,3.7665,29777.4,1856.24,4499.38,15273.05,179.8,249.7,326.05,22.807,131.4,446.64,553101.0,438.3,139.94,312.64,1959.9
0.0,915.4689999999999,913.5895405181992,0.015007740315229763,891.3,948.4,991.9693759201001,867.0856240798997,43.73709566414313,1.812390158172228,2.725,81.94,3.835,29204.2,1829.11,4518.44,15407.85,178.85,251.45,330.11,23.232,131.53,454.17,551920.0,440.76,142.22,316.56,1970.0
0.0,916.051,915.8834573615532,0.014893212925834228,892.2,938.3,987.1761101343135,867.8588898656864,45.97741707833451,1.3369713506139247,2.577,82.82,3.8675,29105.5,1830.24,4478.03,15274.92,181.99,253.86,327.78,23.716,128.11,446.8,533600.0,431.6,139.57,310.73,1976.1
0.0,916.803,916.793694690545,0.014852646405339981,906.8,929.5,980.332768176446,869.442231823554,45.36908077994427,2.405154696439471,2.565,81.55,3.8995,29189.3,1835.98,4501.89,15353.54,191.17,259.32,326.66,23.697,128.45,445.15,541000.0,431.0,128.91,313.19,1968.8
0.0,917.895,918.8869724304611,0.014472677895045496,914.6,911.1,970.5415495166379,873.9434504833622,53.24909747292419,4.386850667564235,2.477,79.49,3.8435,29173.7,1840.21,4513.39,15370.74,192.58,254.11,327.5,23.872,128.38,442.69,533800.0,429.7,128.21,314.31,1975.0
