Bitcoin_Vol.,Bitcoin_Price_MA_50,Bitcoin_Price_EMA_12,Bitcoin_Price_Volatility_30,Bitcoin_Price_Lag_7,Bitcoin_Price_Lag_30,Bitcoin_Price_BB_Upper,Bitcoin_Price_BB_Lower,Bitcoin_Price_RSI_14,Bitcoin_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
47330.0,39853.977999999996,35296.13320241676,0.03116314968721949,35426.1,41256.1,38330.37566948651,33596.38433051349,39.34687488212443,-9.117765327185479,3.164,85.54,3.646,901.5,1779.54,4117.37,14180.42,168.22,207.3,329.81,22.774,122.17,405.0,503375.0,397.87,127.74,296.73,1989.0
56620.0,39614.471999999994,35120.374248198794,0.027736900471698512,35042.0,44175.5,38132.714675028285,33437.68532497171,29.649115131363047,-6.939414994346138,3.214,83.21,3.5845,909.0,1803.13,4137.23,14109.57,166.89,205.76,327.89,22.795,122.28,403.26,510125.0,403.54,119.57,288.35,1987.9
75810.0,39365.164,35024.4397484759,0.02783617350780524,34718.7,43289.7,37923.0452058954,33355.9547941046,42.650242315051464,-3.1992120526757373,3.01,85.39,3.591,912.4,1787.0,4186.77,14381.64,171.1,212.42,340.67,22.895,125.61,417.79,512400.0,411.25,121.39,299.53,1985.5
159080.0,39160.366,34854.064402556534,0.027667379989430977,34931.4,43776.3,37951.943614955846,33137.39638504415,31.197051784639328,-4.259853610755904,2.971,83.74,3.624,891.9,1784.88,4247.68,14745.86,173.44,216.52,330.53,22.999,138.81,436.63,516250.0,413.73,128.56,312.55,1976.8
133460.0,38938.062000000005,34575.254494470915,0.02770147552011044,35423.8,44076.2,37802.21669004355,32845.89330995647,18.9480280992218,-5.70800753381655,2.926,85.49,3.5865,905.0,1763.75,4217.04,14604.85,173.0,212.08,329.32,23.095,136.5,429.75,512500.0,406.84,126.56,314.01,1978.2
82680.0,38674.83,33821.292264552314,0.031782625416848925,34650.6,41987.8,38444.46021578643,31511.559784213576,13.50584862147062,-14.528769798408348,2.899,88.75,3.563,905.1,1603.89,4224.16,14560.88,172.88,211.99,326.67,23.504,135.6,413.87,511000.0,400.96,125.17,308.65,1994.4
50100.0,38350.416,33036.93960846734,0.02941840579736087,34477.9,38688.2,39007.92227288934,30204.277727110657,13.664981448586872,-17.77312103150748,2.957,89.37,3.601,898.2,1566.79,4278.0,14783.13,175.46,220.11,331.32,23.031,137.75,421.01,515550.0,401.77,128.4,312.81,1980.5
45010.0,38075.402,32311.5181302416,0.029282045330973654,33901.8,37712.9,39076.20153933319,29180.678460666815,13.396739690456116,-20.048950140865752,3.056,88.32,3.587,894.3,1563.43,4314.6,14909.26,175.84,242.68,330.11,23.099,137.96,421.96,518145.0,346.19,128.13,316.97,1968.3
53420.0,37791.852,31710.299956358274,0.029269027157355347,34153.7,37855.5,39286.369051283335,28255.940948716663,14.698374883008611,-18.02854784621334,3.079,86.66,3.5785,906.2,1564.99,4373.2,15122.01,177.15,254.85,332.06,23.024,139.72,439.38,527750.0,355.72,131.47,324.0,1935.7
119180.0,37493.116,31217.899963072385,0.02932554532209049,34496.8,37823.3,39206.6165244863,27538.833475513693,16.20106257893137,-17.310219009858486,3.109,86.66,3.582,899.4,1599.48,4373.63,15172.73,178.72,253.92,332.64,22.765,139.1,460.95,527475.0,360.82,132.55,321.15,1934.3
43247.0,37180.12,30547.99227644586,0.030637358975118767,33917.0,37248.6,39060.024379676324,26641.47562032368,12.010886455027475,-20.760844556926184,3.236,87.69,3.571,884.2,1552.17,4327.78,14995.12,178.85,251.12,327.73,22.895,137.36,454.61,522700.0,355.68,129.79,314.69,1941.5
43247.0,36835.964,29965.393464684956,0.03035876894722715,33041.8,37717.3,38850.100383141566,25857.459616858432,7.654931711752226,-21.645092625396366,3.344,82.91,3.591,875.8,1539.7,4349.61,15184.1,180.71,258.87,331.16,21.959,138.97,469.45,524517.0,361.2,132.33,324.16,1883.0
55780.0,36496.178,29490.19447011804,0.030482937456535457,29674.5,37410.8,38656.74460998326,25174.785390016732,9.387733779124432,-22.08958512093876,3.377,83.49,3.612,893.0,1566.88,4376.95,15241.12,179.8,262.99,332.42,22.133,140.55,468.06,528820.0,365.93,131.83,327.82,1887.3
43247.0,36170.742,29167.241474715265,0.03032122450314596,28723.0,35813.6,38331.42938949117,24696.59061050883,14.253432465423145,-19.241088539670372,3.382,85.97,3.634,890.2,1567.6,4358.24,15131.52,178.39,263.62,328.39,21.953,138.06,457.98,528530.0,373.32,129.48,321.84,1875.3
44810.0,35877.184,28923.265863220608,0.028711245854244297,28321.7,37454.1,37962.03739961494,24319.92260038506,16.82901228088592,-16.525734070177776,3.376,86.38,3.646,888.8,1579.74,4335.66,15047.16,178.99,259.67,329.82,21.924,138.42,452.73,523690.0,385.95,128.26,318.36,1864.3
52510.0,35582.728,28771.517268878975,0.028887934135091806,28403.6,36595.4,37547.94259888678,24055.837401113225,17.723713994974418,-5.855532527928009,3.338,82.79,3.6275,881.5,1645.62,4308.5,14973.24,177.49,260.53,327.26,21.723,137.58,457.62,525425.0,381.51,127.96,315.43,1845.2
46260.0,35292.35400000001,28562.09922751298,0.028943731331072094,28509.7,36161.2,37039.86322627782,23811.806773722183,13.89633282725876,-4.570205062145316,3.166,82.31,3.552,862.5,1611.58,4258.19,14723.22,174.91,260.05,319.36,21.019,135.07,446.88,523545.0,372.59,125.96,304.79,1831.8
43247.0,34987.654,28443.45319251098,0.027301605839507703,26863.5,37874.9,36315.942457823105,23772.437542176882,18.142674390789324,-1.874181281490872,2.962,84.22,3.589,874.2,1647.05,4263.75,14776.25,173.66,261.16,318.95,21.146,135.24,440.41,521675.0,376.9,127.0,305.58,1834.8
44060.0,34678.532,28287.291162893907,0.025525251029365512,26761.1,35549.3,35662.97632601557,23703.18367398443,19.164597569818312,-3.4333676012899716,2.949,89.23,3.621,879.6,1656.88,4229.45,14565.62,172.4,246.53,313.39,21.377,132.43,435.17,521919.0,376.75,124.72,300.94,1841.5
84300.0,34398.898,28166.984830141,0.024785351278273728,26876.6,36478.3,34938.53835142042,23730.361648579576,31.337967583192835,-3.523011466272885,2.84,88.82,3.6415,886.8,1662.79,4288.39,14837.57,173.75,251.6,321.8,21.421,134.17,447.82,527960.0,380.33,129.46,306.82,1847.2
43247.0,34111.972,27973.571779350077,0.02414445635161875,27391.0,37303.0,34251.45617955492,23718.243820445074,33.382821950951296,0.1723528207419056,2.929,90.79,3.7375,915.9,1667.72,4288.05,14715.24,171.21,250.22,315.75,22.45,130.86,434.99,531477.0,377.6,127.12,300.21,1866.1
64560.0,33768.914000000004,27827.268428680833,0.024266574505679143,27581.4,36700.5,33359.873204929965,23896.71679507004,37.42960540320863,0.9771646158042824,2.945,91.71,3.708,915.1,1652.89,4299.7,14702.77,170.69,246.38,313.64,22.741,132.31,430.89,541105.0,376.36,125.98,303.96,1878.6
50800.0,33430.441999999995,27602.473285806856,0.02415403819135843,27936.9,35636.9,32161.1685751143,24282.351424885703,32.25761507514936,-1.8994218018648201,2.764,93.68,3.6365,896.3,1598.49,4274.51,14580.16,170.43,240.5,312.79,22.724,130.54,424.68,542495.0,377.59,125.98,297.74,1890.9
43247.0,33079.294,27389.615857221186,0.024155908983161438,27410.3,35426.1,30821.997753158837,24851.71224684116,30.19367110496283,-4.279142784126167,2.656,90.39,3.649,914.2,1594.04,4273.53,14545.83,171.96,244.12,312.14,23.196,128.57,419.11,545870.0,379.25,125.98,298.96,1919.8
43247.0,32723.824,27222.39803303331,0.0242684774358334,27790.9,35042.0,29295.744480431047,25704.055519568956,43.35639482538029,-4.636095339612933,2.639,89.68,3.67,923.6,1588.62,4337.44,14768.89,176.08,246.99,317.54,23.385,131.11,422.22,548360.0,384.8,131.27,300.83,1936.6
43247.0,32415.706000000002,27123.85987410511,0.024537153957703173,27428.4,34718.7,28863.901845618366,25826.638154381635,47.96243234638653,-4.850216022536502,2.637,90.03,3.696,934.1,1593.1,4320.06,14701.1,174.79,244.88,317.01,23.844,130.25,416.1,546215.0,379.81,129.12,299.08,1945.6
